,LotShape,LotConfig,BldgType,ExterQual,Foundation,BsmtQual,BsmtFinType1,HeatingQC,KitchenQual,FireplaceQu,GarageType,GarageFinish
42,7.0,5.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,0.0,6.0,2.0
43,7.0,5.0,2.0,3.0,5.0,4.0,2.0,3.0,3.0,0.0,2.0,1.0
44,9.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,0.0,6.0,2.0
45,9.0,2.0,7.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,2.0
46,7.0,5.0,2.0,4.0,6.0,5.0,6.0,5.0,4.0,5.0,6.0,2.0
47,9.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
48,9.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0
49,9.0,2.0,2.0,3.0,5.0,3.0,4.0,5.0,3.0,0.0,6.0,1.0
50,5.0,4.0,2.0,3.0,6.0,4.0,6.0,4.0,3.0,0.0,6.0,3.0
51,9.0,2.0,2.0,3.0,6.0,3.0,1.0,3.0,3.0,4.0,2.0,1.0
52,5.0,4.0,5.0,2.0,5.0,4.0,2.0,3.0,3.0,0.0,3.0,1.0
53,7.0,2.0,2.0,4.0,5.0,5.0,6.0,4.0,4.0,4.0,6.0,3.0
54,9.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0,1.0
55,7.0,2.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,6.0,2.0
56,9.0,2.0,7.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,3.0
57,7.0,4.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,0.0,6.0,2.0
58,5.0,5.0,2.0,5.0,6.0,5.0,1.0,5.0,4.0,4.0,4.0,3.0
59,9.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,0.0,2.0,1.0
60,9.0,2.0,2.0,3.0,6.0,4.0,5.0,5.0,4.0,0.0,2.0,1.0
61,9.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,0.0,2.0,1.0
62,7.0,2.0,7.0,4.0,6.0,4.0,6.0,5.0,4.0,4.0,6.0,2.0
63,7.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,0.0,2.0,1.0
64,9.0,2.0,2.0,3.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
65,9.0,2.0,2.0,4.0,6.0,5.0,1.0,5.0,4.0,4.0,4.0,2.0
66,9.0,2.0,2.0,3.0,5.0,4.0,6.0,3.0,3.0,4.0,6.0,2.0
67,7.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
68,9.0,4.0,2.0,3.0,5.0,3.0,1.0,3.0,3.0,0.0,6.0,1.0
69,9.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,6.0,3.0
70,7.0,2.0,2.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,6.0,3.0
71,9.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,0.0,2.0,1.0
72,7.0,4.0,2.0,3.0,6.0,4.0,1.0,4.0,3.0,3.0,6.0,3.0
73,9.0,2.0,2.0,3.0,5.0,3.0,5.0,4.0,3.0,0.0,6.0,1.0
74,9.0,4.0,2.0,4.0,5.0,2.0,1.0,4.0,3.0,0.0,2.0,1.0
75,9.0,2.0,7.0,3.0,5.0,4.0,6.0,3.0,3.0,0.0,4.0,1.0
76,7.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,0.0,2.0,1.0
77,9.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,0.0,2.0,1.0
78,9.0,2.0,5.0,3.0,5.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0
79,9.0,4.0,2.0,3.0,6.0,3.0,1.0,4.0,3.0,0.0,2.0,1.0
80,9.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,6.0,3.0
81,9.0,7.0,7.0,3.0,6.0,5.0,6.0,5.0,3.0,0.0,6.0,3.0
82,9.0,2.0,2.0,3.0,6.0,4.0,6.0,5.0,4.0,4.0,6.0,2.0
83,7.0,2.0,2.0,3.0,5.0,3.0,1.0,4.0,3.0,0.0,2.0,1.0
84,7.0,2.0,2.0,3.0,6.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0
85,9.0,4.0,2.0,4.0,5.0,4.0,1.0,5.0,4.0,3.0,6.0,1.0
86,5.0,2.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,4.0,4.0,3.0
87,9.0,4.0,7.0,4.0,6.0,4.0,1.0,5.0,4.0,0.0,2.0,2.0
88,7.0,4.0,2.0,2.0,5.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0
89,9.0,2.0,2.0,3.0,6.0,4.0,6.0,5.0,3.0,0.0,0.0,0.0
90,9.0,2.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0
91,9.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,6.0,1.0
92,7.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,3.0,0.0,2.0,1.0
93,9.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,2.0,1.0
94,7.0,2.0,2.0,3.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
95,5.0,4.0,2.0,5.0,6.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0
96,7.0,2.0,2.0,4.0,6.0,4.0,5.0,5.0,4.0,0.0,6.0,2.0
97,9.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,6.0,3.0
98,9.0,4.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,0.0,5.0,1.0
99,7.0,2.0,2.0,3.0,5.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0
100,7.0,2.0,2.0,3.0,6.0,3.0,5.0,4.0,4.0,3.0,6.0,2.0
101,9.0,2.0,2.0,4.0,5.0,4.0,1.0,3.0,4.0,3.0,6.0,3.0
102,9.0,2.0,5.0,3.0,2.0,0.0,0.0,3.0,3.0,0.0,6.0,1.0
103,7.0,4.0,2.0,3.0,6.0,4.0,1.0,5.0,4.0,0.0,6.0,2.0
104,9.0,4.0,2.0,3.0,6.0,3.0,2.0,5.0,3.0,3.0,2.0,1.0
105,9.0,2.0,2.0,4.0,6.0,5.0,1.0,5.0,4.0,4.0,6.0,2.0
106,9.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,0.0,2.0,1.0
107,9.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,0.0,2.0,1.0
108,9.0,4.0,2.0,3.0,5.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0
109,7.0,2.0,2.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,6.0,2.0
110,9.0,2.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,0.0,6.0,1.0
111,7.0,2.0,2.0,3.0,6.0,4.0,6.0,5.0,3.0,3.0,4.0,3.0
112,9.0,2.0,2.0,4.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,3.0
113,9.0,4.0,2.0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,1.0
114,7.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,2.0,1.0
115,9.0,4.0,7.0,3.0,6.0,4.0,6.0,4.0,3.0,2.0,2.0,1.0
116,9.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,1.0,6.0,1.0
117,9.0,4.0,2.0,3.0,6.0,4.0,1.0,4.0,3.0,0.0,6.0,1.0
118,9.0,4.0,2.0,3.0,6.0,4.0,6.0,4.0,4.0,3.0,6.0,1.0
119,9.0,2.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,4.0,6.0,3.0
120,7.0,5.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,6.0,1.0
121,9.0,2.0,2.0,3.0,6.0,3.0,1.0,4.0,3.0,0.0,2.0,1.0
122,9.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,0.0,6.0,1.0
123,9.0,2.0,7.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
124,7.0,5.0,2.0,3.0,5.0,4.0,1.0,3.0,3.0,3.0,6.0,1.0
125,9.0,2.0,4.0,3.0,5.0,3.0,6.0,4.0,3.0,0.0,0.0,0.0
126,7.0,2.0,7.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,6.0,2.0
127,7.0,2.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,0.0,0.0
128,9.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,6.0,2.0
129,9.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,5.0,0.0,7.0,2.0
130,9.0,4.0,2.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,6.0,3.0
131,7.0,4.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,4.0,2.0
132,9.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,0.0,2.0,1.0
133,7.0,2.0,2.0,4.0,6.0,5.0,6.0,5.0,4.0,0.0,6.0,3.0
134,7.0,2.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,6.0,2.0
135,9.0,2.0,2.0,3.0,6.0,3.0,1.0,4.0,3.0,4.0,6.0,1.0
136,7.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,6.0,2.0
137,9.0,2.0,5.0,3.0,5.0,3.0,1.0,4.0,3.0,0.0,7.0,1.0
138,7.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,6.0,3.0
139,7.0,2.0,2.0,3.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
140,9.0,7.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,1.0,0.0,0.0
141,9.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,3.0
142,9.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,0.0,2.0,1.0
143,7.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
144,9.0,2.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0
145,9.0,2.0,7.0,4.0,6.0,4.0,1.0,5.0,4.0,0.0,2.0,1.0
146,9.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,0.0,2.0,1.0
147,7.0,5.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,4.0,4.0,3.0
148,9.0,2.0,2.0,3.0,6.0,4.0,6.0,5.0,4.0,0.0,0.0,0.0
149,9.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,0.0,2.0,1.0
150,9.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,0.0,6.0,1.0
151,9.0,2.0,2.0,4.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,2.0
152,7.0,5.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,2.0
153,9.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,6.0,2.0
154,9.0,4.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,0.0,2.0,1.0
155,9.0,4.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0
156,9.0,2.0,2.0,3.0,5.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0
157,9.0,4.0,2.0,4.0,6.0,5.0,1.0,5.0,5.0,4.0,4.0,3.0
158,9.0,4.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,4.0,6.0,2.0
159,7.0,4.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,4.0,6.0,2.0
160,7.0,5.0,2.0,3.0,6.0,4.0,4.0,3.0,3.0,0.0,6.0,1.0
161,7.0,2.0,2.0,4.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,3.0
162,9.0,4.0,2.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,6.0,2.0
163,9.0,2.0,2.0,3.0,5.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0
164,9.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,0.0,2.0,1.0
165,9.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,0.0,0.0,0.0
166,7.0,2.0,2.0,4.0,5.0,3.0,2.0,5.0,3.0,4.0,6.0,3.0
167,9.0,2.0,2.0,4.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0
168,7.0,2.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,4.0,6.0,3.0
169,7.0,4.0,2.0,4.0,5.0,4.0,1.0,3.0,3.0,3.0,6.0,2.0
170,7.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0
171,7.0,4.0,2.0,3.0,5.0,3.0,4.0,2.0,3.0,4.0,6.0,3.0
172,7.0,2.0,7.0,4.0,6.0,4.0,6.0,4.0,4.0,3.0,6.0,2.0
173,7.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,6.0,1.0
174,7.0,2.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,6.0,3.0
175,9.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,6.0,1.0
176,7.0,4.0,2.0,4.0,6.0,4.0,6.0,3.0,3.0,3.0,6.0,1.0
177,9.0,2.0,2.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,6.0,1.0
178,7.0,5.0,2.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0
179,9.0,2.0,2.0,4.0,5.0,3.0,1.0,3.0,3.0,0.0,2.0,1.0
180,9.0,2.0,7.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,2.0,1.0
181,9.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,1.0
182,9.0,2.0,2.0,3.0,6.0,0.0,0.0,5.0,3.0,4.0,6.0,2.0
183,9.0,2.0,2.0,3.0,6.0,4.0,1.0,5.0,4.0,0.0,2.0,1.0
184,7.0,2.0,2.0,3.0,6.0,2.0,1.0,4.0,3.0,0.0,6.0,1.0
185,5.0,2.0,2.0,4.0,4.0,3.0,1.0,5.0,5.0,3.0,2.0,1.0
186,7.0,5.0,2.0,3.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,1.0
187,9.0,2.0,2.0,3.0,5.0,2.0,1.0,5.0,3.0,0.0,2.0,1.0
188,9.0,2.0,5.0,3.0,5.0,4.0,6.0,3.0,3.0,3.0,2.0,1.0
189,9.0,2.0,7.0,4.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0
190,9.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0
191,7.0,5.0,2.0,3.0,5.0,3.0,5.0,4.0,4.0,0.0,6.0,3.0
192,7.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,3.0
193,9.0,2.0,7.0,4.0,6.0,4.0,1.0,5.0,4.0,0.0,2.0,1.0
194,7.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,0.0,2.0,1.0
195,9.0,7.0,7.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,6.0,1.0
196,9.0,2.0,2.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0
197,9.0,4.0,2.0,4.0,6.0,3.0,6.0,4.0,4.0,5.0,2.0,1.0
198,9.0,4.0,2.0,3.0,5.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0
199,9.0,2.0,2.0,4.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0
200,9.0,4.0,2.0,3.0,6.0,4.0,1.0,5.0,3.0,0.0,6.0,2.0
201,9.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0
202,9.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,0.0,6.0,1.0
203,9.0,2.0,7.0,4.0,6.0,4.0,6.0,5.0,4.0,4.0,6.0,2.0
204,9.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,0.0,2.0,1.0
205,9.0,4.0,2.0,3.0,6.0,4.0,1.0,5.0,3.0,0.0,6.0,2.0
206,7.0,5.0,2.0,3.0,5.0,3.0,1.0,3.0,3.0,3.0,6.0,2.0
207,7.0,2.0,2.0,3.0,6.0,3.0,5.0,3.0,3.0,1.0,6.0,2.0
208,7.0,2.0,2.0,4.0,5.0,4.0,6.0,5.0,3.0,4.0,6.0,3.0
209,9.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,3.0,0.0,6.0,2.0
210,9.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
211,9.0,4.0,2.0,3.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
212,9.0,2.0,2.0,3.0,6.0,4.0,6.0,5.0,4.0,3.0,6.0,2.0
213,5.0,5.0,2.0,3.0,6.0,4.0,5.0,5.0,3.0,0.0,6.0,1.0
214,7.0,7.0,2.0,3.0,5.0,4.0,6.0,5.0,3.0,0.0,6.0,3.0
215,7.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,6.0,1.0
216,9.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,1.0
217,9.0,2.0,2.0,3.0,5.0,3.0,1.0,2.0,3.0,0.0,2.0,1.0
218,7.0,4.0,2.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,6.0,1.0
219,9.0,2.0,7.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,3.0
220,7.0,2.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,0.0,6.0,2.0
221,7.0,2.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,3.0,4.0,2.0
222,9.0,2.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,6.0,2.0
223,9.0,7.0,2.0,3.0,5.0,3.0,5.0,4.0,3.0,0.0,2.0,1.0
224,9.0,2.0,2.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,3.0
225,9.0,2.0,7.0,3.0,5.0,3.0,1.0,3.0,3.0,0.0,2.0,1.0
226,7.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,6.0,2.0
227,9.0,2.0,7.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0
228,9.0,7.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0
229,9.0,2.0,7.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,6.0,3.0
230,9.0,2.0,2.0,3.0,5.0,3.0,1.0,3.0,3.0,0.0,6.0,2.0
231,7.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,5.0,3.0,6.0,3.0
232,9.0,2.0,7.0,3.0,5.0,3.0,1.0,3.0,3.0,1.0,6.0,1.0
233,9.0,4.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,0.0,6.0,1.0
234,9.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,4.0,3.0
235,9.0,2.0,7.0,3.0,5.0,3.0,5.0,3.0,3.0,0.0,2.0,1.0
236,9.0,7.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
237,7.0,5.0,2.0,4.0,6.0,4.0,4.0,5.0,4.0,0.0,6.0,2.0
238,9.0,2.0,2.0,5.0,6.0,5.0,1.0,5.0,4.0,0.0,6.0,3.0
239,9.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0
240,9.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
241,9.0,2.0,2.0,3.0,5.0,3.0,5.0,4.0,4.0,0.0,0.0,0.0
242,9.0,4.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,0.0,6.0,1.0
243,9.0,4.0,7.0,3.0,5.0,4.0,1.0,3.0,3.0,3.0,6.0,2.0
244,7.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,2.0,6.0,2.0
245,9.0,2.0,2.0,3.0,5.0,4.0,6.0,4.0,3.0,3.0,6.0,3.0
246,9.0,2.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,0.0,2.0,1.0
247,9.0,2.0,2.0,3.0,5.0,3.0,1.0,5.0,3.0,3.0,6.0,1.0
248,9.0,2.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,0.0,6.0,2.0
249,5.0,5.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,6.0,3.0
250,7.0,2.0,2.0,3.0,5.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0
251,7.0,2.0,7.0,4.0,6.0,4.0,6.0,5.0,4.0,4.0,6.0,3.0
252,7.0,2.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,0.0,6.0,2.0
253,9.0,2.0,2.0,3.0,5.0,4.0,2.0,5.0,4.0,0.0,6.0,2.0
254,9.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,6.0,2.0
255,7.0,2.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,3.0,4.0,3.0
256,7.0,2.0,2.0,4.0,6.0,4.0,3.0,5.0,4.0,0.0,6.0,2.0
257,9.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,4.0,6.0,2.0
258,9.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,6.0,2.0
259,9.0,2.0,2.0,3.0,6.0,0.0,0.0,4.0,3.0,0.0,2.0,1.0
260,9.0,4.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0
261,7.0,2.0,2.0,4.0,6.0,5.0,1.0,5.0,5.0,4.0,4.0,3.0
262,7.0,4.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,6.0,1.0
263,9.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,0.0,2.0,1.0
264,2.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,0.0,2.0,1.0
265,7.0,2.0,2.0,3.0,5.0,4.0,6.0,3.0,4.0,3.0,6.0,3.0
266,7.0,7.0,2.0,3.0,6.0,4.0,6.0,4.0,3.0,3.0,6.0,3.0
267,9.0,2.0,2.0,3.0,6.0,3.0,2.0,5.0,4.0,4.0,2.0,1.0
268,9.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0
269,7.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,6.0,2.0
270,9.0,2.0,2.0,4.0,6.0,4.0,1.0,4.0,4.0,4.0,6.0,2.0
271,7.0,5.0,2.0,3.0,5.0,4.0,2.0,5.0,3.0,3.0,6.0,1.0
272,7.0,5.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,4.0,6.0,3.0
273,9.0,2.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,2.0
274,9.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,0.0,6.0,1.0
275,9.0,2.0,2.0,4.0,4.0,3.0,1.0,4.0,5.0,0.0,2.0,1.0
