,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Total_SF,Total_Bathrooms,Total_porch_sf
10,5,5,70.0,11200,1,0,9,Lvl,9,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,3,3,CBlock,3,3,3,5,6,0.0,134.0,1040.0,GasA,5,1,SBrkr,1040,0,1040,1.0,0.0,1,0,3,1,3,5,6,0,0,5,1965.0,3,1.0,384.0,3,3,2,0,0,0,0,0,4,None,0,4,2,WD,Normal,2080.0,2.0,0
11,10,5,85.0,11924,1,0,7,Lvl,9,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,5,3,PConc,5,3,3,2,6,0.0,177.0,1175.0,GasA,5,1,SBrkr,1182,0,2324,1.0,0.0,3,0,4,1,5,11,6,2,4,3,2005.0,0,3.0,736.0,3,3,2,0,0,0,0,0,4,None,0,9,0,New,Partial,3499.0,4.0,168
12,5,5,72.0,12968,1,0,5,Lvl,9,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,3,3,CBlock,3,3,3,0,6,0.0,175.0,912.0,GasA,3,1,SBrkr,912,0,912,1.0,0.0,1,0,2,1,3,4,6,0,0,5,1962.0,3,1.0,352.0,3,3,2,0,0,176,0,0,4,None,0,11,2,WD,Normal,1824.0,2.0,316
13,5,5,91.0,10652,1,0,7,Lvl,9,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,4,3,0,6,6,0.0,1494.0,1494.0,GasA,5,1,SBrkr,1494,0,1494,0.0,0.0,2,0,3,1,4,7,6,1,4,1,2006.0,2,3.0,840.0,3,3,2,0,0,0,0,0,4,None,0,10,1,New,Partial,2988.0,2.0,193
14,5,5,73.0,10920,1,0,7,Lvl,9,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,3,3,CBlock,3,3,3,1,6,0.0,520.0,1253.0,GasA,3,1,SBrkr,1253,0,1253,1.0,0.0,1,1,2,1,3,5,6,1,2,1,1960.0,2,1.0,352.0,3,3,2,176,0,0,0,0,1,None,0,7,2,WD,Normal,2506.0,2.5,389
15,8,8,51.0,6120,1,0,9,Lvl,9,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,BrkTil,3,3,3,6,6,0.0,832.0,832.0,GasA,5,1,FuseA,854,0,854,0.0,0.0,1,0,2,1,3,5,6,0,0,5,1991.0,3,2.0,576.0,3,3,2,0,0,0,0,0,0,None,0,9,1,WD,Normal,1686.0,1.0,160
16,5,5,73.0,11241,1,0,7,Lvl,9,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,3,3,CBlock,3,3,3,0,6,0.0,426.0,1004.0,GasA,5,1,SBrkr,1004,0,1004,1.0,0.0,1,0,2,1,3,5,6,1,3,1,1970.0,0,2.0,480.0,3,3,2,0,0,0,0,0,4,Shed,700,5,4,WD,Normal,2008.0,2.0,0
17,15,5,72.0,10791,1,0,9,Lvl,9,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,3,3,Slab,0,0,4,4,4,0.0,0.0,0.0,GasA,3,1,SBrkr,1296,0,1296,0.0,0.0,2,0,2,2,3,6,6,0,0,4,1967.0,3,2.0,516.0,3,3,2,0,0,0,0,0,4,Shed,500,1,0,WD,Normal,1296.0,2.0,0
18,5,5,66.0,13695,1,0,9,Lvl,9,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,3,3,3,2,6,0.0,468.0,1114.0,GasA,5,1,SBrkr,1114,0,1114,1.0,0.0,1,1,3,1,4,6,6,0,0,5,2004.0,3,2.0,576.0,3,3,2,0,0,0,0,0,4,None,0,8,2,WD,Normal,2228.0,2.5,102
19,5,5,70.0,7560,1,0,9,Lvl,9,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,3,3,CBlock,3,3,3,3,6,0.0,525.0,1029.0,GasA,3,1,SBrkr,1339,0,1339,0.0,0.0,1,0,3,1,3,6,2,0,0,1,1958.0,3,1.0,294.0,3,3,2,0,0,0,0,0,2,None,0,7,3,COD,Abnorml,2368.0,1.0,0
20,10,5,101.0,14215,1,0,7,Lvl,9,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,5,3,0,6,6,0.0,1158.0,1158.0,GasA,5,1,SBrkr,1158,0,2376,0.0,0.0,3,1,4,1,4,9,6,1,4,3,2005.0,2,3.0,853.0,3,3,2,0,0,0,0,0,4,None,0,2,0,New,Partial,3534.0,3.5,394
21,8,8,57.0,7449,1,3,9,Bnk,9,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,PConc,3,3,3,6,6,0.0,637.0,637.0,GasA,5,1,FuseF,1108,0,1108,0.0,0.0,1,0,3,1,4,6,6,1,4,1,1930.0,3,1.0,280.0,3,3,0,205,0,0,0,0,0,None,0,8,1,WD,Normal,1745.0,1.0,205
22,5,5,75.0,9742,1,0,9,Lvl,9,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,3,6,6,0.0,1777.0,1777.0,GasA,5,1,SBrkr,1795,0,1795,0.0,0.0,2,0,3,1,4,7,6,1,4,1,2002.0,2,2.0,534.0,3,3,2,0,0,0,0,0,4,None,0,11,2,WD,Normal,3572.0,2.0,330
23,0,8,44.0,4224,1,0,9,Lvl,9,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,3,3,PConc,4,3,3,2,6,0.0,200.0,1040.0,GasA,3,1,SBrkr,1060,0,1060,1.0,0.0,1,0,3,1,3,6,6,1,3,1,1976.0,3,2.0,572.0,3,3,2,0,0,0,0,0,4,None,0,8,1,WD,Normal,2100.0,2.0,210
24,5,5,72.0,8246,1,0,7,Lvl,9,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,3,4,CBlock,3,3,2,5,0,668.0,204.0,1060.0,GasA,5,1,SBrkr,1060,0,1060,1.0,0.0,1,0,3,1,4,6,6,1,3,1,1968.0,3,1.0,270.0,3,3,2,0,0,0,0,0,2,None,0,7,4,WD,Normal,2120.0,2.0,496
25,5,5,110.0,14230,1,0,9,Lvl,9,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,4,3,3,6,6,0.0,1566.0,1566.0,GasA,5,1,SBrkr,1600,0,1600,0.0,0.0,2,0,3,1,4,7,6,1,4,1,2007.0,2,3.0,890.0,3,3,2,0,0,0,0,0,4,None,0,9,3,WD,Normal,3166.0,2.0,56
26,5,5,60.0,7200,1,0,9,Lvl,9,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,CBlock,3,3,2,1,5,486.0,180.0,900.0,GasA,3,1,SBrkr,900,0,900,0.0,1.0,1,0,3,1,4,5,6,0,0,5,2005.0,3,2.0,576.0,3,3,2,0,0,0,0,0,4,None,0,7,4,WD,Normal,1800.0,1.5,254
27,5,5,98.0,11478,1,0,9,Lvl,9,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,5,3,3,2,6,0.0,486.0,1704.0,GasA,5,1,SBrkr,1704,0,1704,1.0,0.0,2,0,3,1,4,7,6,1,4,1,2008.0,2,3.0,772.0,3,3,2,0,0,0,0,0,4,None,0,7,4,WD,Normal,3408.0,3.0,50
28,5,5,47.0,16321,1,0,7,Lvl,9,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,3,3,CBlock,3,3,1,1,6,0.0,207.0,1484.0,GasA,3,1,SBrkr,1600,0,1600,1.0,0.0,1,0,2,1,3,6,6,2,4,1,1957.0,2,1.0,319.0,3,3,2,0,0,0,0,0,4,None,0,3,0,WD,Normal,3084.0,2.0,546
29,6,8,60.0,6324,1,0,7,Lvl,9,Inside,3,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,3,3,BrkTil,3,3,3,6,6,0.0,520.0,520.0,GasA,2,0,SBrkr,520,0,520,0.0,0.0,1,0,1,1,2,4,6,0,0,5,1920.0,3,1.0,240.0,2,3,2,87,0,0,0,0,4,None,0,7,2,WD,Normal,1040.0,1.0,136
30,11,3,50.0,8500,1,6,9,Lvl,9,Inside,3,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,3,2,BrkTil,3,3,3,6,6,0.0,649.0,649.0,GasA,3,0,SBrkr,649,0,1317,0.0,0.0,1,0,3,1,3,6,6,0,0,5,1920.0,3,1.0,250.0,3,2,0,172,0,0,0,0,2,None,0,9,2,WD,Normal,1966.0,1.0,226
31,5,5,72.0,8544,1,0,7,Lvl,9,CulDSac,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,3,3,CBlock,3,3,3,6,6,0.0,1228.0,1228.0,GasA,4,1,SBrkr,1228,0,1228,0.0,0.0,1,1,3,1,4,6,6,0,0,1,1966.0,3,1.0,271.0,3,3,2,0,0,0,0,0,2,None,0,8,2,WD,Normal,2456.0,1.5,65
32,5,5,85.0,11049,1,0,9,Lvl,9,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,5,3,0,6,6,0.0,1234.0,1234.0,GasA,5,1,SBrkr,1234,0,1234,0.0,0.0,2,0,3,1,4,7,6,0,0,1,2007.0,2,2.0,484.0,3,3,2,0,0,0,0,0,4,None,0,0,2,WD,Normal,2468.0,2.0,30
33,5,5,70.0,10552,1,0,7,Lvl,9,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,3,3,CBlock,3,3,3,5,6,0.0,380.0,1398.0,GasA,4,1,SBrkr,1700,0,1700,0.0,1.0,1,1,4,1,4,6,6,1,4,1,1959.0,2,2.0,447.0,3,3,2,0,0,0,0,0,4,None,0,6,4,WD,Normal,3098.0,2.0,38
34,0,5,60.0,7313,1,0,9,Lvl,9,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,5,3,PConc,5,3,3,2,6,0.0,408.0,1561.0,GasA,5,1,SBrkr,1561,0,1561,1.0,0.0,2,0,2,1,5,6,6,1,4,1,2005.0,0,2.0,556.0,3,3,2,0,0,0,0,0,4,None,0,10,1,WD,Normal,3122.0,3.0,250
35,10,5,108.0,13418,1,0,9,Lvl,9,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,5,3,0,6,6,0.0,1117.0,1117.0,GasA,5,1,SBrkr,1132,0,2452,0.0,0.0,3,1,4,1,4,9,6,1,4,3,2004.0,0,3.0,691.0,3,3,2,0,0,0,0,0,4,None,0,11,0,WD,Normal,3569.0,3.5,145
36,5,5,112.0,10859,1,0,9,Lvl,9,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,4,3,3,6,6,0.0,1097.0,1097.0,GasA,5,1,SBrkr,1097,0,1097,0.0,0.0,1,1,3,1,3,6,6,0,0,1,1995.0,3,2.0,672.0,3,3,2,0,0,0,0,0,4,None,0,8,3,WD,Normal,2194.0,1.5,456
37,5,5,74.0,8532,1,0,9,Lvl,9,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,3,3,CBlock,3,3,3,5,6,0.0,84.0,1297.0,GasA,4,1,SBrkr,1297,0,1297,0.0,1.0,1,0,3,1,3,5,6,1,3,1,1954.0,0,2.0,498.0,3,3,2,0,0,0,0,0,4,None,0,1,3,WD,Normal,2594.0,1.5,0
38,5,5,68.0,7922,1,0,9,Lvl,9,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,3,4,CBlock,3,3,3,2,6,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057,0,1057,1.0,0.0,1,0,3,1,4,5,6,0,0,5,1953.0,3,1.0,246.0,3,3,2,0,0,0,0,0,4,None,0,0,4,WD,Abnorml,2114.0,2.0,52
39,15,5,65.0,6040,1,0,9,Lvl,9,Inside,3,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,3,3,PConc,0,0,4,4,4,0.0,0.0,0.0,GasA,3,0,FuseP,1152,0,1152,0.0,0.0,2,0,2,2,2,6,6,0,0,6,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,4,None,0,8,2,WD,AdjLand,1152.0,2.0,0
40,5,5,84.0,8658,1,0,9,Lvl,9,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,3,3,CBlock,3,3,3,5,6,0.0,445.0,1088.0,GasA,5,1,SBrkr,1324,0,1324,0.0,0.0,2,0,3,1,3,6,6,1,3,1,1965.0,2,2.0,440.0,3,3,2,0,0,0,0,0,1,None,0,3,0,WD,Abnorml,2412.0,2.0,138
41,5,5,115.0,16905,1,0,9,Lvl,9,Inside,3,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,3,4,CBlock,3,3,1,1,6,0.0,383.0,1350.0,GasA,4,1,SBrkr,1328,0,1328,0.0,1.0,1,1,2,1,3,5,6,2,4,1,1959.0,2,1.0,308.0,3,3,1,0,0,0,0,0,4,None,0,9,1,WD,Normal,2678.0,2.0,104
42,14,5,67.0,9180,1,0,7,Lvl,9,CulDSac,3,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,3,3,CBlock,4,3,0,0,3,93.0,0.0,840.0,GasA,4,1,SBrkr,884,0,884,1.0,0.0,1,0,2,1,4,5,6,0,0,1,1983.0,2,2.0,504.0,3,4,2,0,0,0,0,0,2,None,0,3,1,WD,Normal,1724.0,2.0,240
43,5,5,70.0,9200,1,0,7,Lvl,9,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,3,3,CBlock,4,3,0,3,1,491.0,167.0,938.0,GasA,3,1,SBrkr,938,0,938,1.0,0.0,1,0,3,1,3,5,6,0,0,5,1977.0,3,1.0,308.0,3,3,2,0,0,0,0,0,2,None,0,9,2,WD,Normal,1876.0,2.0,145
44,5,5,70.0,7945,1,0,9,Lvl,9,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,3,3,CBlock,3,3,3,0,1,506.0,465.0,1150.0,GasA,5,1,FuseA,1150,0,1150,1.0,0.0,1,0,3,1,3,6,6,0,0,1,1959.0,2,1.0,300.0,3,3,2,0,0,0,0,0,4,None,0,7,0,WD,Normal,2300.0,2.0,0
45,0,5,61.0,7658,1,0,9,Lvl,9,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,5,3,PConc,5,3,3,2,6,0.0,1296.0,1752.0,GasA,5,1,SBrkr,1752,0,1752,1.0,0.0,2,0,2,1,5,6,6,1,4,1,2005.0,2,2.0,576.0,3,3,2,0,0,0,0,0,4,None,0,4,4,WD,Normal,3504.0,3.0,278
46,9,5,48.0,12822,1,0,7,Lvl,9,CulDSac,3,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,5,3,3,2,6,0.0,83.0,1434.0,GasA,5,1,SBrkr,1518,0,2149,1.0,0.0,1,1,1,1,4,6,6,1,5,1,2003.0,2,2.0,670.0,3,3,2,0,0,198,0,0,4,None,0,10,3,WD,Abnorml,3583.0,2.5,409
47,5,1,84.0,11096,1,0,9,Lvl,9,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,0,2,6,0.0,1632.0,1656.0,GasA,5,1,SBrkr,1656,0,1656,0.0,0.0,2,0,3,1,4,7,6,0,0,1,2006.0,2,3.0,826.0,3,3,2,0,0,0,0,0,4,None,0,9,1,WD,Normal,3312.0,2.0,146
48,4,8,33.0,4456,1,0,9,Lvl,9,Inside,3,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,3,3,BrkTil,3,3,3,6,6,0.0,736.0,736.0,GasA,4,1,SBrkr,736,0,1452,0.0,0.0,2,0,2,3,3,8,6,0,0,6,0.0,1,0.0,0.0,0,0,0,102,0,0,0,0,4,None,0,8,3,New,Partial,2188.0,2.0,102
49,5,5,66.0,7742,1,0,9,Lvl,9,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,3,3,CBlock,3,3,3,1,6,0.0,192.0,955.0,GasA,5,1,SBrkr,955,0,955,1.0,0.0,1,0,3,1,3,6,6,0,0,1,1966.0,3,1.0,386.0,3,3,2,0,0,0,0,0,2,None,0,0,1,WD,Normal,1910.0,2.0,0
50,10,5,64.0,13869,1,0,5,Lvl,9,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,4,3,0,2,6,0.0,612.0,794.0,GasA,4,1,SBrkr,794,0,1470,0.0,1.0,2,0,3,1,3,6,6,0,0,1,1997.0,0,2.0,388.0,3,3,2,0,0,0,0,0,4,None,0,9,1,WD,Normal,2264.0,2.5,75
51,9,8,52.0,6240,1,0,9,Lvl,9,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,PConc,3,3,3,6,6,0.0,816.0,816.0,GasA,3,1,SBrkr,816,360,1176,0.0,0.0,1,0,3,1,3,6,6,1,4,5,1985.0,3,2.0,528.0,3,3,2,0,0,0,0,0,2,Shed,400,11,0,WD,Normal,1632.0,1.0,112
52,15,8,110.0,8472,0,0,5,Bnk,9,Corner,2,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,3,CBlock,4,3,1,3,2,712.0,0.0,816.0,GasA,3,0,SBrkr,816,0,816,1.0,0.0,1,0,2,1,3,5,6,0,0,4,1963.0,3,2.0,516.0,3,3,2,0,0,0,0,0,4,None,0,7,4,WD,Normal,1632.0,2.0,106
53,5,5,68.0,50271,1,0,7,Low,9,Inside,3,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,4,3,CBlock,5,3,1,2,6,0.0,32.0,1842.0,GasA,4,1,SBrkr,1842,0,1842,2.0,0.0,0,1,0,1,4,5,6,1,4,1,1981.0,0,3.0,894.0,3,3,2,0,0,0,0,0,4,None,0,2,0,WD,Normal,3684.0,2.5,929
54,13,5,60.0,7134,1,0,9,Bnk,9,Inside,2,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,3,3,CBlock,3,3,3,0,6,0.0,0.0,384.0,GasA,3,1,SBrkr,1360,0,1360,0.0,0.0,1,0,3,1,3,6,2,1,3,5,1962.0,3,2.0,572.0,3,3,2,0,0,0,0,0,2,None,0,4,1,WD,Normal,1744.0,1.0,50
55,5,5,100.0,10175,1,0,7,Lvl,9,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,3,3,CBlock,3,3,3,1,6,0.0,935.0,1425.0,GasA,4,1,SBrkr,1425,0,1425,0.0,0.0,2,0,3,1,3,7,6,1,4,1,1964.0,2,2.0,576.0,3,3,2,0,407,0,0,0,4,None,0,9,2,WD,Normal,2850.0,2.0,407
