,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,YrBltAndRemod,TotalSF,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace
10,20,RL,19.01179874575357,14.466373070637308,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,3.9915168749775227,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,172.1036393026489,Unf,0.0,27.994341140001968,501.1887144250852,GasA,Ex,Y,SBrkr,6.088024103887922,0.0,0.0,7.735275663079103,0.9934397235753302,0.0,1,0.0,3,0.7509568577639583,TA,1.8346586108242808,Typ,0.0,None,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,0.0,2,2008,WD,Normal,3930,507.2767385289731,178.19166340653683,1.9934397235753303,0.0,0,0,1,1,0
11,60,RL,21.472481223453105,14.609329140698579,None,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,3.9915168749775227,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,23.157323629367447,Ex,TA,PConc,Ex,TA,No,GLQ,184.35275948727016,Unf,0.0,33.169419315223045,557.8222040668935,GasA,Ex,Y,SBrkr,6.185364403629236,1384.1581669388745,0.0,8.73976484481462,0.9934397235753302,0.0,3,0.0,4,0.7509568577639583,Ex,2.567924962070163,Typ,1.6882543888973123,Gd,BuiltIn,2005.0,Fin,3.0,736.0,TA,TA,Y,35.4876209323383,6.734961907874472,0.0,0.0,0.0,0.0,None,None,0.0,7,2006,New,Partial,4011,1948.1657354093973,1574.696290829774,3.9934397235753303,42.22258284021277,0,1,1,1,1
12,20,RL,19.351559328722903,14.80212202196815,None,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,4.679500606095132,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,148.59473894102246,Unf,0.0,32.941258790561136,446.64418151703853,GasA,TA,Y,SBrkr,5.987644716814115,0.0,0.0,7.573578530816267,0.9934397235753302,0.0,1,0.0,2,0.7509568577639583,TA,1.643995077834327,Typ,0.0,None,Detchd,1962.0,Unf,1.0,352.0,TA,TA,Y,34.37173209362799,0.0,0.0,0.0,23.365178581025692,0.0,None,None,0.0,9,2008,WD,Normal,3924,452.6318262338526,154.58238365783657,1.9934397235753303,57.736910674653686,0,0,1,1,0
13,20,RL,22.40611470819183,14.352452411527011,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,3.9915168749775227,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,23.888232667413988,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,118.31862521882732,688.6232680612621,GasA,Ex,Y,SBrkr,6.3622985383056525,0.0,0.0,8.184703670807531,0.0,0.0,2,0.0,3,0.7509568577639583,Gd,2.137369407365849,Typ,0.9033340459133361,Gd,Attchd,2006.0,RFn,3.0,840.0,TA,TA,Y,37.5096127026663,8.680964453193994,0.0,0.0,0.0,0.0,None,None,0.0,8,2007,New,Partial,4013,694.9855665995678,6.3622985383056525,2.0,46.190577155860296,0,0,1,1,1
14,20,RL,19.51999147701275,14.40881657874407,None,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,3.9915168749775227,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,20.158542127137984,TA,TA,CBlock,TA,TA,No,BLQ,148.02022535992626,Unf,0.0,63.36955478804563,590.1718963281387,GasA,TA,Y,SBrkr,6.22957236776431,0.0,0.0,7.965810233241676,0.9934397235753302,0.0,1,1.068836635008358,2,0.7509568577639583,TA,1.8346586108242808,Typ,0.9033340459133361,Fa,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,0.0,22.81090791684331,13.506980623775306,0.0,0.0,0.0,GdWo,None,0.0,5,2008,WD,Normal,3920,596.401468695903,154.24979772769058,2.5278580410795093,36.31788854061861,0,0,1,1,1
15,45,RM,15.558091112452379,13.12698848420362,None,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,6.000032966802397,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,83.75642783394716,412.07681768932696,GasA,Ex,Y,FuseA,5.937236536341364,0.0,0.0,7.492929714566117,0.0,0.0,1,0.0,2,0.7509568577639583,TA,1.8346586108242808,Typ,0.0,None,Detchd,1991.0,Unf,2.0,576.0,TA,TA,Y,16.875361296385748,16.536075093785715,0.0,0.0,0.0,0.0,GdPrv,None,0.0,7,2007,WD,Normal,3930,418.0140542256683,5.937236536341364,1.0,33.41143639017146,0,0,1,1,0
16,20,RL,19.51999147701275,14.474690626476342,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5.348040535865468,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,18.672690082598844,TA,TA,CBlock,TA,TA,No,ALQ,124.9766078562853,Unf,0.0,56.268179828302415,485.93668814360046,GasA,Ex,Y,SBrkr,6.061147964100657,0.0,0.0,7.691837740705879,0.9934397235753302,0.0,1,0.0,2,0.7509568577639583,TA,1.8346586108242808,Typ,0.9033340459133361,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,Shed,6.937473557051831,3,2010,WD,Normal,3940,491.9978361077011,131.03775582038597,1.9934397235753303,0.0,0,0,1,1,1
17,90,RL,19.351559328722903,14.381845403452864,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,3.9915168749775227,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,TA,Y,SBrkr,6.255099178726819,0.0,0.0,8.007702697340083,0.0,0.0,2,0.0,2,1.2485433052031065,TA,1.9965773170801218,Typ,0.0,None,CarPort,1967.0,Unf,2.0,516.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,Shed,6.562432896815116,10,2006,WD,Normal,3934,6.255099178726819,6.255099178726819,2.0,0.0,0,0,1,0,0
18,20,RL,18.32014003916669,14.928183558121898,None,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,3.9915168749775227,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,135.28473284714232,Unf,0.0,59.51463047122384,532.3379388573869,GasA,Ex,Y,SBrkr,6.140360202043534,0.0,0.0,7.820167493257052,0.9934397235753302,0.0,1,1.068836635008358,3,0.7509568577639583,Gd,1.9965773170801218,Typ,0.0,None,Detchd,2004.0,Unf,2.0,576.0,TA,TA,Y,0.0,15.766934905120616,0.0,0.0,0.0,0.0,None,None,0.0,6,2008,WD,Normal,4008,538.4782990594305,141.42509304918585,2.5278580410795093,15.766934905120616,0,0,1,1,0
19,20,RL,19.01179874575357,13.587192096603014,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,4.679500606095132,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,113.34440702997065,Unf,0.0,63.73152127602518,496.5354118792655,GasA,TA,Y,SBrkr,6.279761493507999,0.0,0.0,8.048269518904732,0.0,0.0,1,0.0,3,0.7509568577639583,TA,1.9965773170801218,Min1,0.0,None,Attchd,1958.0,Unf,1.0,294.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,MnPrv,None,0.0,5,2009,COD,Abnorml,3923,502.8151733727735,119.62416852347866,1.0,0.0,0,0,1,1,0
20,60,RL,23.90785576901578,15.014661050497502,None,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,3.9915168749775227,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,26.3752509572465,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,101.82505895813094,550.7368623214956,GasA,Ex,Y,SBrkr,6.1697947180209045,1479.2772939782596,0.0,8.76776373065175,0.0,0.0,3,1.068836635008358,4,0.7509568577639583,Gd,2.3737528809133264,Typ,0.9033340459133361,Gd,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA,Y,48.83726242503157,19.4155723350821,0.0,0.0,0.0,0.0,None,None,0.0,11,2006,New,Partial,4011,2036.183951017776,1485.4470886962806,3.534418317504179,68.25283476011367,0,1,1,1,1
21,45,RM,16.698069193352246,13.554697994704684,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,5.348040535865468,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,71.49436459664088,325.97917059564725,GasA,Ex,Y,FuseF,6.136253146895613,0.0,0.0,7.8134910218076445,0.0,0.0,1,0.0,3,0.7509568577639583,Gd,1.9965773170801218,Typ,0.9033340459133361,Gd,Attchd,1930.0,Unf,1.0,280.0,TA,TA,N,0.0,0.0,14.347074771095054,0.0,0.0,0.0,GdPrv,None,0.0,6,2007,WD,Normal,3880,332.1154237425429,6.136253146895613,1.0,14.347074771095054,0,0,1,1,1
22,20,RL,19.85405093262318,14.150905491596946,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,3.9915168749775227,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,22.970002384296286,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,131.03039805725194,801.7589530341128,GasA,Ex,Y,SBrkr,6.499834741735274,0.0,0.0,8.414369759715253,0.0,0.0,2,0.0,3,0.7509568577639583,Gd,2.137369407365849,Typ,0.9033340459133361,Gd,Attchd,2002.0,RFn,2.0,534.0,TA,TA,Y,39.173825957478066,19.728238638625193,0.0,0.0,0.0,0.0,None,None,0.0,9,2008,WD,Normal,4004,808.2587877758481,6.499834741735274,2.0,58.90206459610326,0,0,1,1,1
23,120,RM,14.156637490521918,12.339959263451128,None,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,5.348040535865468,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,163.09034218426487,Unf,0.0,35.72016214510972,501.1887144250852,GasA,TA,Y,SBrkr,6.102541122582103,0.0,0.0,7.758782558742321,0.9934397235753302,0.0,1,0.0,3,0.7509568577639583,TA,1.9965773170801218,Typ,0.9033340459133361,TA,Attchd,1976.0,Unf,2.0,572.0,TA,TA,Y,27.547832545927704,16.385325924340354,0.0,0.0,0.0,0.0,None,None,0.0,6,2007,WD,Normal,3952,507.29125554766733,169.19288330684697,1.9934397235753303,43.933158470268054,0,0,1,1,1
24,20,RL,19.351559328722903,13.778860777133875,None,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6.000032966802397,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,55.920849569766084,ALQ,11.76118925729162,36.1509958790905,509.6337140262926,GasA,Ex,Y,SBrkr,6.102541122582103,0.0,0.0,7.758782558742321,0.9934397235753302,0.0,1,0.0,3,0.7509568577639583,Gd,1.9965773170801218,Typ,0.9033340459133361,TA,Attchd,1968.0,Unf,1.0,270.0,TA,TA,Y,68.5881709714425,14.787780377608383,0.0,0.0,0.0,0.0,MnPrv,None,0.0,5,2010,WD,Normal,3969,515.7362551488746,73.7845799496398,1.9934397235753303,83.37595134905088,0,0,1,1,1
25,20,RL,25.20796836234133,15.01711253456896,None,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,3.9915168749775227,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,33.37645700209314,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,121.64208675583703,717.6409014380896,GasA,Ex,Y,SBrkr,6.41377491372953,0.0,0.0,8.270320512025314,0.0,0.0,2,0.0,3,0.7509568577639583,Gd,2.137369407365849,Typ,0.9033340459133361,Gd,Attchd,2007.0,RFn,3.0,890.0,TA,TA,Y,0.0,11.547208686192496,0.0,0.0,0.0,0.0,None,None,0.0,7,2009,WD,Normal,4014,724.0546763518191,6.41377491372953,2.0,11.547208686192496,0,0,1,1,1
26,20,RL,17.24965123682584,13.480169413771241,None,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5.348040535865468,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,65.45371362005264,Rec,10.844383735633267,33.5096541531777,441.48381433759977,GasA,TA,Y,SBrkr,5.977493762772124,0.0,0.0,7.557308357603152,0.0,0.7108953440828516,1,0.0,3,0.7509568577639583,Gd,1.8346586108242808,Typ,0.0,None,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,46.42787357846469,8.534937962271348,0.0,0.0,0.0,0.0,None,None,0.0,5,2010,WD,Normal,3951,447.46130810037187,82.27559111845804,1.355447672041426,54.96281154073604,0,0,1,1,0
27,20,RL,23.4640101482877,14.52223494393877,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,3.9915168749775227,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,19.617633449645552,Gd,TA,PConc,Ex,TA,No,GLQ,212.38082598225523,Unf,0.0,60.86840580670004,772.8043109143439,GasA,Ex,Y,SBrkr,6.460948247137895,0.0,0.0,8.349138439705234,0.9934397235753302,0.0,2,0.0,3,0.7509568577639583,Gd,2.137369407365849,Typ,0.9033340459133361,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0.0,10.872445985028723,0.0,0.0,0.0,0.0,None,None,0.0,5,2010,WD,Normal,4015,779.2652591614818,218.84177422939314,2.9934397235753303,10.872445985028723,0,0,1,1,1
28,20,RL,14.767587115403511,15.337741443603184,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,4.679500606095132,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,219.6358610514746,Unf,0.0,36.471811459961344,684.5795125266948,GasA,TA,Y,SBrkr,6.41377491372953,0.0,0.0,8.270320512025314,0.9934397235753302,0.0,1,0.0,2,0.7509568577639583,TA,1.9965773170801218,Typ,1.6882543888973123,Gd,Attchd,1957.0,RFn,1.0,319.0,TA,TA,Y,54.95788128466047,25.065834766609612,0.0,0.0,0.0,0.0,None,None,0.0,12,2006,WD,Normal,3954,690.9932874404243,226.04963596520412,1.9934397235753303,80.02371605127009,0,0,1,1,1
29,30,RM,17.24965123682584,13.197838490686138,None,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,4.679500606095132,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,63.36955478804563,272.7810129987311,GasA,Fa,N,SBrkr,5.552619025879558,0.0,0.0,6.889419394794386,0.0,0.0,1,0.0,1,0.7509568577639583,Fa,1.643995077834327,Typ,0.0,None,Detchd,1920.0,Unf,1.0,240.0,Fa,TA,Y,17.11211476991452,0.0,10.131462081319363,0.0,0.0,0.0,None,None,0.0,5,2008,WD,Normal,3877,278.33363202461067,5.552619025879558,1.0,27.243576851233883,0,0,1,1,0
30,70,C (all),15.362900421095816,13.846155163674629,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,3.2801001214816288,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,72.29079834343611,331.36323584487934,GasA,TA,N,SBrkr,5.725304272190684,796.0898763709587,0.0,8.027674714236005,0.0,0.0,1,0.0,3,0.7509568577639583,TA,1.9965773170801218,Typ,0.0,None,Detchd,1920.0,Unf,1.0,250.0,TA,Fa,N,0.0,11.326811565827002,13.383978834474958,0.0,0.0,0.0,MnPrv,None,0.0,7,2008,WD,Normal,3870,1133.1784164880287,801.8151806431493,1.0,24.71079040030196,0,1,1,1,0
31,20,RL,19.351559328722903,13.857625753356855,None,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,4.679500606095132,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,105.41140300221002,579.8313133599224,GasA,Gd,Y,SBrkr,6.2143097031054815,0.0,0.0,7.940809104417035,0.0,0.0,1,1.068836635008358,3,0.7509568577639583,Gd,1.9965773170801218,Typ,0.0,None,Attchd,1966.0,Unf,1.0,271.0,TA,TA,Y,0.0,12.490043199990344,0.0,0.0,0.0,0.0,MnPrv,None,0.0,6,2008,WD,Normal,3972,586.045623063028,6.2143097031054815,1.534418317504179,12.490043199990344,0,0,1,1,0
