,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Total_SF,Total_Bathrooms,Total_porch_sf,Alley_0,Alley_3,Alley_6,Utilities_7,Utilities_9,BldgType_2,BldgType_4,BldgType_5,BldgType_7,ExterQual_2,ExterQual_3,ExterQual_4,ExterQual_5,BsmtQual_0,BsmtQual_2,BsmtQual_3,BsmtQual_4,BsmtQual_5,BsmtCond_0,BsmtCond_1,BsmtCond_2,BsmtCond_3,BsmtCond_4,BsmtExposure_0,BsmtExposure_1,BsmtExposure_2,BsmtExposure_3,BsmtExposure_5,BsmtFinType1_0,BsmtFinType1_1,BsmtFinType1_2,BsmtFinType1_3,BsmtFinType1_4,BsmtFinType1_5,BsmtFinType1_6,BsmtFinType2_0,BsmtFinType2_1,BsmtFinType2_2,BsmtFinType2_3,BsmtFinType2_4,BsmtFinType2_5,BsmtFinType2_6,KitchenQual_2,KitchenQual_3,KitchenQual_4,KitchenQual_5,FireplaceQu_0,FireplaceQu_1,FireplaceQu_2,FireplaceQu_3,FireplaceQu_4,FireplaceQu_5,GarageFinish_0,GarageFinish_1,GarageFinish_2,GarageFinish_3,GarageQual_0,GarageQual_1,GarageQual_2,GarageQual_3,GarageQual_4,GarageQual_5,GarageCond_0,GarageCond_1,GarageCond_2,GarageCond_3,GarageCond_4,GarageCond_5,PoolQC_0,PoolQC_2,PoolQC_4,PoolQC_5,SalePrice
10,5,5,70.0,11200,9,9,7,2,3,19,2,2,2,5,5,72,15,3,1,6,6,2,0.0,3,5,906.0,0.0,134.0,1040.0,1,5,1,4,1040,0,0,1040,1.0,0.0,1,0,3,1,5,6,0,5,57,1.0,384.0,2,0,0,0,0,0,0,4,1,0,4,2,8,6,2080.0,2.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,129500
11,10,5,85.0,11924,9,7,7,2,3,16,2,2,5,9,5,112,56,3,1,14,15,3,286.0,3,6,998.0,0.0,177.0,1175.0,1,5,1,4,1182,1142,0,2324,1.0,0.0,3,0,4,1,11,6,2,3,97,3.0,736.0,2,147,21,0,0,0,0,4,1,0,9,0,6,1,3499.0,4.0,168,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,345000
12,5,5,0.0,12968,9,5,7,2,3,19,2,2,2,5,6,69,12,3,1,6,10,2,0.0,3,5,737.0,0.0,175.0,912.0,1,3,1,4,912,0,0,912,1.0,0.0,1,0,2,1,4,6,0,5,54,1.0,352.0,2,140,0,0,0,176,0,4,1,0,11,2,8,6,1824.0,2.0,316,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,144000
13,5,5,91.0,10652,9,7,7,2,3,5,2,2,2,7,5,113,57,5,1,12,13,3,306.0,3,6,0.0,0.0,1494.0,1494.0,1,5,1,4,1494,0,0,1494,0.0,0.0,2,0,3,1,7,6,1,1,98,3.0,840.0,2,160,33,0,0,0,0,4,1,0,10,1,6,1,2988.0,2.0,193,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,279500
14,5,5,0.0,10920,9,7,7,4,3,12,2,2,2,6,5,67,10,3,1,8,8,1,212.0,3,5,733.0,0.0,520.0,1253.0,1,3,1,4,1253,0,0,1253,1.0,0.0,1,1,2,1,5,6,1,1,52,1.0,352.0,2,0,213,176,0,0,0,1,1,0,7,2,8,6,2506.0,2.5,389,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,157000
15,8,8,51.0,6120,9,9,7,4,3,3,2,2,1,7,8,39,51,5,1,13,14,2,0.0,3,4,0.0,0.0,832.0,832.0,1,5,1,0,854,0,0,854,0.0,0.0,1,0,2,1,5,6,0,5,83,2.0,576.0,2,48,112,0,0,0,0,0,1,0,9,1,8,6,1686.0,1.0,160,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,132000
16,5,5,0.0,11241,9,7,7,5,3,12,2,2,2,6,7,77,20,5,1,13,14,1,180.0,3,5,578.0,0.0,426.0,1004.0,1,5,1,4,1004,0,0,1004,1.0,0.0,1,0,2,1,5,6,1,1,62,2.0,480.0,2,0,0,0,0,0,0,4,3,700,5,4,8,6,2008.0,2.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,149000
17,15,5,72.0,10791,9,9,7,2,3,19,2,2,2,4,5,74,17,5,1,8,8,2,0.0,3,2,0.0,0.0,0.0,0.0,1,3,1,4,1296,0,0,1296,0.0,0.0,2,0,2,2,6,6,0,4,59,2.0,516.0,2,0,0,0,0,0,0,4,3,500,1,0,8,6,1296.0,2.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,90000
18,5,5,66.0,13695,9,9,7,2,3,20,5,2,2,5,5,111,54,5,1,12,13,2,0.0,3,6,646.0,0.0,468.0,1114.0,1,5,1,4,1114,0,0,1114,1.0,0.0,1,1,3,1,6,6,0,5,96,2.0,576.0,2,0,102,0,0,0,0,4,1,0,8,2,8,6,2228.0,2.5,102,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,159000
19,5,5,70.0,7560,9,9,7,2,3,12,2,2,2,5,6,65,15,3,1,3,10,2,0.0,3,5,504.0,0.0,525.0,1029.0,1,3,1,4,1339,0,0,1339,0.0,0.0,1,0,3,1,6,2,0,1,50,1.0,294.0,2,0,0,0,0,0,0,2,1,0,7,3,0,5,2368.0,1.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,139000
20,10,5,101.0,14215,9,7,7,4,3,16,2,2,5,8,5,112,56,5,1,12,13,1,380.0,3,6,0.0,0.0,1158.0,1158.0,1,5,1,4,1158,1218,0,2376,0.0,0.0,3,1,4,1,9,6,1,3,97,3.0,853.0,2,240,154,0,0,0,0,4,1,0,2,0,6,1,3534.0,3.5,394,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,325300
21,8,8,57.0,7449,9,9,6,2,3,9,2,2,1,7,7,40,0,5,1,13,14,2,0.0,3,6,0.0,0.0,637.0,637.0,1,5,1,1,1108,0,0,1108,0.0,0.0,1,0,3,1,6,6,1,1,23,1.0,280.0,0,0,0,205,0,0,0,0,1,0,8,1,8,6,1745.0,1.0,205,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,139400
22,5,5,75.0,9742,9,9,7,2,3,5,2,2,2,8,5,109,52,3,1,12,13,1,281.0,3,6,0.0,0.0,1777.0,1777.0,1,5,1,4,1795,0,0,1795,0.0,0.0,2,0,3,1,7,6,1,1,94,2.0,534.0,2,171,159,0,0,0,0,4,1,0,11,2,8,6,3572.0,2.0,330,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,230000
23,0,8,44.0,4224,9,9,7,2,3,10,2,2,2,5,7,83,26,5,1,5,5,2,0.0,3,6,840.0,0.0,200.0,1040.0,1,3,1,4,1060,0,0,1060,1.0,0.0,1,0,3,1,6,6,1,1,68,2.0,572.0,2,100,110,0,0,0,0,4,1,0,8,1,8,6,2100.0,2.0,210,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,129900
24,5,5,0.0,8246,9,7,7,2,3,19,2,2,2,5,8,75,51,5,1,9,10,2,0.0,4,5,188.0,668.0,204.0,1060.0,1,5,1,4,1060,0,0,1060,1.0,0.0,1,0,3,1,6,6,1,1,60,1.0,270.0,2,406,90,0,0,0,0,2,1,0,7,4,8,6,2120.0,2.0,496,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,154000
25,5,5,110.0,14230,9,9,7,4,3,16,2,2,2,8,5,114,57,5,1,12,13,3,640.0,3,6,0.0,0.0,1566.0,1566.0,1,5,1,4,1600,0,0,1600,0.0,0.0,2,0,3,1,7,6,1,1,99,3.0,890.0,2,0,56,0,0,0,0,4,1,0,9,3,8,6,3166.0,2.0,56,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,256300
26,5,5,60.0,7200,9,9,7,4,3,12,2,2,2,5,7,58,50,5,1,13,14,2,0.0,3,5,234.0,486.0,180.0,900.0,1,3,1,4,900,0,0,900,0.0,1.0,1,0,3,1,5,6,0,5,97,2.0,576.0,2,222,32,0,0,0,0,4,1,0,7,4,8,6,1800.0,1.5,254,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,134800
27,5,5,98.0,11478,9,9,7,2,3,16,2,2,2,8,5,114,58,5,1,12,13,3,200.0,3,6,1218.0,0.0,486.0,1704.0,1,5,1,4,1704,0,0,1704,1.0,0.0,2,0,3,1,7,6,1,1,100,3.0,772.0,2,0,50,0,0,0,0,4,1,0,7,4,8,6,3408.0,3.0,50,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,306000
28,5,5,47.0,16321,9,7,7,5,3,12,2,2,2,5,6,64,47,5,1,8,8,2,0.0,3,5,1277.0,0.0,207.0,1484.0,1,3,1,4,1600,0,0,1600,1.0,0.0,1,0,2,1,6,6,2,1,49,1.0,319.0,2,288,258,0,0,0,0,4,1,0,3,0,8,6,3084.0,2.0,546,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,207500
29,6,8,60.0,6324,9,7,7,2,3,3,1,7,2,4,6,37,0,5,1,8,8,2,0.0,3,4,0.0,0.0,520.0,520.0,1,2,0,4,520,0,0,520,0.0,0.0,1,0,1,1,4,6,0,5,13,1.0,240.0,2,49,0,87,0,0,0,4,1,0,7,2,8,6,1040.0,1.0,136,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,68500
30,11,3,50.0,8500,9,9,7,2,3,9,1,2,5,4,4,30,0,4,1,3,3,2,0.0,2,4,0.0,0.0,649.0,649.0,1,3,0,4,649,668,0,1317,0.0,0.0,1,0,3,1,6,6,0,5,13,1.0,250.0,0,0,54,172,0,0,0,2,1,0,9,2,8,6,1966.0,1.0,226,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,40000
31,5,5,0.0,8544,9,7,7,5,3,19,2,2,2,5,6,73,56,5,1,6,6,2,0.0,3,5,0.0,0.0,1228.0,1228.0,1,4,1,4,1228,0,0,1228,0.0,0.0,1,1,3,1,6,6,0,1,58,1.0,271.0,2,0,65,0,0,0,0,2,1,0,8,2,8,6,2456.0,1.5,65,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,149350
32,5,5,85.0,11049,9,9,7,4,3,5,2,2,2,8,5,114,57,5,1,12,13,2,0.0,3,6,0.0,0.0,1234.0,1234.0,1,5,1,4,1234,0,0,1234,0.0,0.0,2,0,3,1,7,6,0,1,99,2.0,484.0,2,0,30,0,0,0,0,4,1,0,0,2,8,6,2468.0,2.0,30,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,179900
33,5,5,70.0,10552,9,7,7,2,3,12,2,2,2,5,5,66,9,3,1,3,3,2,0.0,3,5,1018.0,0.0,380.0,1398.0,1,4,1,4,1700,0,0,1700,0.0,1.0,1,1,4,1,6,6,1,1,51,2.0,447.0,2,0,38,0,0,0,0,4,1,0,6,4,8,6,3098.0,2.0,38,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,165500
34,0,5,60.0,7313,9,9,7,2,3,16,2,2,2,9,5,112,55,3,1,8,8,1,246.0,3,6,1153.0,0.0,408.0,1561.0,1,5,1,4,1561,0,0,1561,1.0,0.0,2,0,2,1,6,6,1,1,97,2.0,556.0,2,203,47,0,0,0,0,4,1,0,10,1,8,6,3122.0,3.0,250,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,277500
35,10,5,108.0,13418,9,9,7,2,3,16,2,2,5,8,5,111,55,5,1,12,13,3,132.0,3,6,0.0,0.0,1117.0,1117.0,1,5,1,4,1132,1320,0,2452,0.0,0.0,3,1,4,1,9,6,1,3,96,3.0,691.0,2,113,32,0,0,0,0,4,1,0,11,0,8,6,3569.0,3.5,145,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,309000
36,5,5,112.0,10859,9,9,7,4,3,5,2,2,2,5,5,101,45,5,1,12,13,2,0.0,3,6,0.0,0.0,1097.0,1097.0,1,5,1,4,1097,0,0,1097,0.0,0.0,1,1,3,1,6,6,0,1,87,2.0,672.0,2,392,64,0,0,0,0,4,1,0,8,3,8,6,2194.0,1.5,456,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,145000
