,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Total_SF,Total_Bathrooms,Total_porch_sf
10,5,5.0,70.0,11200,9.0,0.0,9.0,7.0,9.0,2.0,3.0,19,2,2,2.0,2,5,5,72,15,3.0,1,6,6,2,0.0,3.0,3.0,5.0,3.0,3.0,1.0,3.0,906.0,1.0,0.0,134.0,6.947937068614969,1,5.0,1,4,6.947937068614969,0,0,6.947937068614969,1.0,0.0,1,0,3,1,3.0,5,6,0,0.0,5,57,1.0,1.0,384.0,3.0,3.0,2,0.0,0.0,0,0,0,0,0.0,4,1,0,4,2,8,6.0,7.640603826393634,2.0,0
11,10,5.0,85.0,11924,9.0,0.0,7.0,7.0,9.0,2.0,3.0,16,2,2,2.0,5,9,5,112,56,3.0,1,14,15,3,5.659482215759621,5.0,3.0,6.0,5.0,3.0,1.0,6.0,998.0,1.0,0.0,177.0,7.069874128458572,1,5.0,1,4,7.075808863978387,1142,0,7.751475318021456,1.0,0.0,3,0,4,1,5.0,11,6,2,4.0,3,97,3.0,3.0,736.0,3.0,3.0,2,4.997212273764115,3.091042453358316,0,0,0,0,0.0,4,1,0,9,0,6,1.0,8.160518247477505,4.0,168
12,5,5.0,0.0,12968,9.0,0.0,5.0,7.0,9.0,2.0,3.0,19,2,2,2.0,2,5,6,69,12,3.0,1,6,10,2,0.0,3.0,3.0,5.0,3.0,3.0,1.0,5.0,737.0,1.0,0.0,175.0,6.816735880594968,1,3.0,1,4,6.816735880594968,0,0,6.816735880594968,1.0,0.0,1,0,2,1,3.0,4,6,0,0.0,5,54,1.0,1.0,352.0,3.0,3.0,2,4.948759890378168,0.0,0,0,176,0,0.0,4,1,0,11,2,8,6.0,7.509335266016592,2.0,316
13,5,5.0,91.0,10652,9.0,0.0,7.0,7.0,9.0,2.0,3.0,5,2,2,2.0,2,7,5,113,57,5.0,1,12,13,3,5.726847747587197,4.0,3.0,6.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1494.0,7.3098814858247865,1,5.0,1,4,7.3098814858247865,0,0,7.3098814858247865,0.0,0.0,2,0,3,1,4.0,7,6,1,4.0,1,98,2.0,3.0,840.0,3.0,3.0,2,5.081404364984463,3.5263605246161616,0,0,0,0,0.0,4,1,0,10,1,6,1.0,8.002694162283937,2.0,193
14,5,5.0,0.0,10920,9.0,0.0,7.0,7.0,9.0,4.0,3.0,12,2,2,2.0,2,6,5,67,10,3.0,1,8,8,1,5.3612921657094255,3.0,3.0,5.0,3.0,3.0,1.0,4.0,733.0,1.0,0.0,520.0,7.134093721192866,1,3.0,1,4,7.134093721192866,0,0,7.134093721192866,1.0,0.0,1,1,2,1,3.0,5,6,1,2.0,1,52,2.0,1.0,352.0,3.0,3.0,2,0.0,5.365976015021851,176,0,0,0,0.0,1,1,0,7,2,8,6.0,7.826842098158293,2.5,389
15,8,8.0,51.0,6120,9.0,0.0,9.0,7.0,9.0,4.0,3.0,3,2,2,2.0,1,7,8,39,51,5.0,1,13,14,2,0.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,832.0,6.725033642166843,1,5.0,1,0,6.75110146893676,0,0,6.75110146893676,0.0,0.0,1,0,2,1,3.0,5,6,0,0.0,5,83,1.0,2.0,576.0,3.0,3.0,2,3.8918202981106265,4.727387818712341,0,0,0,0,0.0,0,1,0,9,1,8,6.0,7.430707082545968,1.0,160
16,5,5.0,0.0,11241,9.0,0.0,7.0,7.0,9.0,5.0,3.0,12,2,2,2.0,2,6,7,77,20,5.0,1,13,14,1,5.198497031265826,3.0,3.0,5.0,3.0,3.0,1.0,5.0,578.0,1.0,0.0,426.0,6.912742820493176,1,5.0,1,4,6.912742820493176,0,0,6.912742820493176,1.0,0.0,1,0,2,1,3.0,5,6,1,3.0,1,62,3.0,2.0,480.0,3.0,3.0,2,0.0,0.0,0,0,0,0,0.0,4,3,700,5,4,8,6.0,7.605392364814935,2.0,0
17,15,5.0,72.0,10791,9.0,0.0,9.0,7.0,9.0,2.0,3.0,19,2,2,5.0,2,4,5,74,17,5.0,1,8,8,2,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,1,4,7.167809184316444,0,0,7.167809184316444,0.0,0.0,2,0,2,2,3.0,6,6,0,0.0,4,59,1.0,2.0,516.0,3.0,3.0,2,0.0,0.0,0,0,0,0,0.0,4,3,500,1,0,8,6.0,7.167809184316444,2.0,0
18,5,5.0,66.0,13695,9.0,0.0,9.0,7.0,9.0,2.0,3.0,20,5,2,2.0,2,5,5,111,54,5.0,1,12,13,2,0.0,3.0,3.0,6.0,3.0,3.0,1.0,6.0,646.0,1.0,0.0,468.0,7.016609683894219,1,5.0,1,4,7.016609683894219,0,0,7.016609683894219,1.0,0.0,1,1,3,1,4.0,6,6,0,0.0,5,96,1.0,2.0,576.0,3.0,3.0,2,0.0,4.634728988229636,0,0,0,0,0.0,4,1,0,8,2,8,6.0,7.709308333385869,2.5,102
19,5,5.0,70.0,7560,9.0,0.0,9.0,7.0,9.0,2.0,3.0,12,2,2,2.0,2,5,6,65,15,3.0,1,3,10,2,0.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,504.0,1.0,0.0,525.0,6.937314081223682,1,3.0,1,4,7.200424892944957,0,0,7.200424892944957,0.0,0.0,1,0,3,1,3.0,6,2,0,0.0,1,50,1.0,1.0,294.0,3.0,3.0,2,0.0,0.0,0,0,0,0,0.0,2,1,0,7,3,0,5.0,7.7702232041587855,1.0,0
20,10,5.0,101.0,14215,9.0,0.0,7.0,7.0,9.0,4.0,3.0,16,2,2,2.0,5,8,5,112,56,5.0,1,12,13,1,5.942799375126701,4.0,3.0,6.0,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1158.0,7.055312843339752,1,5.0,1,4,7.055312843339752,1218,0,7.773594467360194,0.0,0.0,3,1,4,1,4.0,9,6,1,4.0,3,97,2.0,3.0,853.0,3.0,3.0,2,5.484796933490655,5.043425116919247,0,0,0,0,0.0,4,1,0,2,0,6,1.0,8.170468578330674,3.5,394
21,8,8.0,57.0,7449,9.0,3.0,9.0,6.0,9.0,2.0,3.0,9,2,2,2.0,1,7,7,40,0,5.0,1,13,14,2,0.0,3.0,3.0,6.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,637.0,6.45833828334479,1,5.0,1,1,7.011213987350367,0,0,7.011213987350367,0.0,0.0,1,0,3,1,4.0,6,6,1,4.0,1,23,1.0,1.0,280.0,3.0,3.0,0,0.0,0.0,205,0,0,0,0.0,0,1,0,8,1,8,6.0,7.465082736399547,1.0,205
22,5,5.0,75.0,9742,9.0,0.0,9.0,7.0,9.0,2.0,3.0,5,2,2,2.0,2,8,5,109,52,3.0,1,12,13,1,5.641907070938114,4.0,3.0,6.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1777.0,7.48324441607385,1,5.0,1,4,7.493317248862145,0,0,7.493317248862145,0.0,0.0,2,0,3,1,4.0,7,6,1,4.0,1,94,2.0,2.0,534.0,3.0,3.0,2,5.147494476813453,5.075173815233827,0,0,0,0,0.0,4,1,0,11,2,8,6.0,8.181160858023409,2.0,330
23,0,8.0,44.0,4224,9.0,0.0,9.0,7.0,9.0,2.0,3.0,10,2,2,7.0,2,5,7,83,26,5.0,1,5,5,2,0.0,3.0,3.0,6.0,4.0,3.0,1.0,6.0,840.0,1.0,0.0,200.0,6.947937068614969,1,3.0,1,4,6.966967138613983,0,0,6.966967138613983,1.0,0.0,1,0,3,1,3.0,6,6,1,3.0,1,68,1.0,2.0,572.0,3.0,3.0,2,4.61512051684126,4.709530201312334,0,0,0,0,0.0,4,1,0,8,1,8,6.0,7.650168700845001,2.0,210
24,5,5.0,0.0,8246,9.0,0.0,7.0,7.0,9.0,2.0,3.0,19,2,2,2.0,2,5,8,75,51,5.0,1,9,10,2,0.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,188.0,5.0,668.0,204.0,6.966967138613983,1,5.0,1,4,6.966967138613983,0,0,6.966967138613983,1.0,0.0,1,0,3,1,4.0,6,6,1,3.0,1,60,1.0,1.0,270.0,3.0,3.0,2,6.008813185442595,4.51085950651685,0,0,0,0,0.0,2,1,0,7,4,8,6.0,7.659642954564682,2.0,496
25,5,5.0,110.0,14230,9.0,0.0,9.0,7.0,9.0,4.0,3.0,16,2,2,2.0,2,8,5,114,57,5.0,1,12,13,3,6.46302945692067,4.0,3.0,6.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1566.0,7.356918242356021,1,5.0,1,4,7.3783837129967145,0,0,7.3783837129967145,0.0,0.0,2,0,3,1,4.0,7,6,1,4.0,1,99,2.0,3.0,890.0,3.0,3.0,2,0.0,4.04305126783455,0,0,0,0,0.0,4,1,0,9,3,8,6.0,8.06054004653864,2.0,56
26,5,5.0,60.0,7200,9.0,0.0,9.0,7.0,9.0,4.0,3.0,12,2,2,2.0,2,5,7,58,50,5.0,1,13,14,2,0.0,3.0,3.0,5.0,3.0,3.0,2.0,4.0,234.0,3.0,486.0,180.0,6.803505257608338,1,3.0,1,4,6.803505257608338,0,0,6.803505257608338,0.0,1.0,1,0,3,1,4.0,5,6,0,0.0,5,97,1.0,2.0,576.0,3.0,3.0,2,5.407171771460119,3.4965075614664802,0,0,0,0,0.0,4,1,0,7,4,8,6.0,7.496097345175956,1.5,254
27,5,5.0,98.0,11478,9.0,0.0,9.0,7.0,9.0,2.0,3.0,16,2,2,2.0,2,8,5,114,58,5.0,1,12,13,3,5.303304908059076,4.0,3.0,6.0,5.0,3.0,1.0,6.0,1218.0,1.0,0.0,486.0,7.4413203897176174,1,5.0,1,4,7.4413203897176174,0,0,7.4413203897176174,1.0,0.0,2,0,3,1,4.0,7,6,1,4.0,1,100,2.0,3.0,772.0,3.0,3.0,2,0.0,3.9318256327243257,0,0,0,0,0.0,4,1,0,7,4,8,6.0,8.134174272137903,3.0,50
28,5,5.0,47.0,16321,9.0,0.0,7.0,7.0,9.0,5.0,3.0,12,2,2,2.0,2,5,6,64,47,5.0,1,8,8,2,0.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,1277.0,1.0,0.0,207.0,7.3031700512368,1,3.0,1,4,7.3783837129967145,0,0,7.3783837129967145,1.0,0.0,1,0,2,1,3.0,6,6,2,4.0,1,49,2.0,1.0,319.0,3.0,3.0,2,5.666426688112432,5.556828061699537,0,0,0,0,0.0,4,1,0,3,0,8,6.0,8.034306936339489,2.0,546
29,6,8.0,60.0,6324,9.0,0.0,7.0,7.0,9.0,2.0,3.0,3,1,7,2.0,2,4,6,37,0,5.0,1,8,8,2,0.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,520.0,6.255750041753367,1,2.0,0,4,6.255750041753367,0,0,6.255750041753367,0.0,0.0,1,0,1,1,2.0,4,6,0,0.0,5,13,1.0,1.0,240.0,2.0,3.0,2,3.912023005428146,0.0,87,0,0,0,0.0,4,1,0,7,2,8,6.0,6.947937068614969,1.0,136
30,11,3.0,50.0,8500,9.0,6.0,9.0,7.0,9.0,2.0,3.0,9,1,2,2.0,5,4,4,30,0,4.0,1,3,3,2,0.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,649.0,6.476972362889683,1,3.0,0,4,6.476972362889683,668,0,7.183870715062453,0.0,0.0,1,0,3,1,3.0,6,6,0,0.0,5,13,1.0,1.0,250.0,3.0,2.0,0,0.0,4.007333185232471,172,0,0,0,0.0,2,1,0,9,2,8,6.0,7.584264818389059,1.0,226
31,5,5.0,0.0,8544,9.0,0.0,7.0,7.0,9.0,5.0,3.0,19,2,2,2.0,2,5,6,73,56,5.0,1,6,6,2,0.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1228.0,7.113956109566034,1,4.0,1,4,7.113956109566034,0,0,7.113956109566034,0.0,0.0,1,1,3,1,4.0,6,6,0,0.0,1,58,1.0,1.0,271.0,3.0,3.0,2,0.0,4.189654742026425,0,0,0,0,0.0,2,1,0,8,2,8,6.0,7.806696372521179,1.5,65
32,5,5.0,85.0,11049,9.0,0.0,9.0,7.0,9.0,4.0,3.0,5,2,2,2.0,2,8,5,114,57,5.0,1,12,13,2,0.0,4.0,3.0,6.0,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1234.0,7.118826249062078,1,5.0,1,4,7.118826249062078,0,0,7.118826249062078,0.0,0.0,2,0,3,1,4.0,7,6,0,0.0,1,99,2.0,2.0,484.0,3.0,3.0,2,0.0,3.4339872044851463,0,0,0,0,0.0,4,1,0,0,2,8,6.0,7.81156848934518,2.0,30
33,5,5.0,70.0,10552,9.0,0.0,7.0,7.0,9.0,2.0,3.0,12,2,2,2.0,2,5,5,66,9,3.0,1,3,3,2,0.0,3.0,3.0,5.0,3.0,3.0,1.0,3.0,1018.0,1.0,0.0,380.0,7.243512974665482,1,4.0,1,4,7.438971592395862,0,0,7.438971592395862,0.0,1.0,1,1,4,1,4.0,6,6,1,4.0,1,51,2.0,2.0,447.0,3.0,3.0,2,0.0,3.6635616461296463,0,0,0,0,0.0,4,1,0,6,4,8,6.0,8.038834757787749,2.0,38
34,0,5.0,60.0,7313,9.0,0.0,9.0,7.0,9.0,2.0,3.0,16,2,2,7.0,2,9,5,112,55,3.0,1,8,8,1,5.5093883366279774,5.0,3.0,6.0,5.0,3.0,1.0,6.0,1153.0,1.0,0.0,408.0,7.3537223303996315,1,5.0,1,4,7.3537223303996315,0,0,7.3537223303996315,1.0,0.0,2,0,2,1,5.0,6,6,1,4.0,1,97,3.0,2.0,556.0,3.0,3.0,2,5.318119993844216,3.871201010907891,0,0,0,0,0.0,4,1,0,10,1,8,6.0,8.046549357283078,3.0,250
35,10,5.0,108.0,13418,9.0,0.0,9.0,7.0,9.0,2.0,3.0,16,2,2,2.0,5,8,5,111,55,5.0,1,12,13,3,4.890349128221754,4.0,3.0,6.0,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1117.0,7.0192966537150445,1,5.0,1,4,7.0326242610280065,1320,0,7.8050670442584895,0.0,0.0,3,1,4,1,4.0,9,6,1,4.0,3,96,3.0,3.0,691.0,3.0,3.0,2,4.736198448394496,3.4965075614664802,0,0,0,0,0.0,4,1,0,11,0,8,6.0,8.180320874773685,3.5,145
36,5,5.0,112.0,10859,9.0,0.0,9.0,7.0,9.0,4.0,3.0,5,2,2,2.0,2,5,5,101,45,5.0,1,12,13,2,0.0,3.0,3.0,6.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1097.0,7.001245622069476,1,5.0,1,4,7.001245622069476,0,0,7.001245622069476,0.0,0.0,1,1,3,1,3.0,6,6,0,0.0,1,87,1.0,2.0,672.0,3.0,3.0,2,5.973809611869261,4.174387269895637,0,0,0,0,0.0,4,1,0,8,3,8,6.0,7.693937325509272,1.5,456
37,5,5.0,74.0,8532,9.0,0.0,9.0,7.0,9.0,2.0,3.0,12,2,2,2.0,2,5,6,61,40,3.0,1,13,14,1,6.478509642208569,3.0,3.0,5.0,3.0,3.0,1.0,3.0,1213.0,1.0,0.0,84.0,7.168579897264035,1,4.0,1,4,7.168579897264035,0,0,7.168579897264035,0.0,1.0,1,0,3,1,3.0,5,6,1,3.0,1,46,3.0,2.0,498.0,3.0,3.0,2,0.0,0.0,0,0,0,0,0.0,4,1,0,1,3,8,6.0,7.861341795599989,1.5,0
38,5,5.0,68.0,7922,9.0,0.0,9.0,7.0,9.0,2.0,3.0,12,2,2,2.0,2,5,7,60,57,5.0,1,12,13,2,0.0,3.0,4.0,5.0,3.0,3.0,1.0,6.0,731.0,1.0,0.0,326.0,6.964135612418245,1,3.0,1,4,6.964135612418245,0,0,6.964135612418245,1.0,0.0,1,0,3,1,4.0,5,6,0,0.0,5,45,1.0,1.0,246.0,3.0,3.0,2,0.0,3.970291913552122,0,0,0,0,0.0,4,1,0,0,4,8,5.0,7.656810091480378,2.0,52
39,15,5.0,65.0,6040,9.0,0.0,9.0,7.0,9.0,2.0,3.0,7,2,2,5.0,2,4,5,62,5,5.0,1,0,10,2,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0,2,7.050122520269059,0,0,7.050122520269059,0.0,0.0,2,0,2,2,2.0,6,6,0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,4,1,0,8,2,8,4.0,7.050122520269059,2.0,0
40,5,5.0,84.0,8658,9.0,0.0,9.0,7.0,9.0,2.0,3.0,12,2,2,2.0,2,6,5,72,15,5.0,1,13,14,1,4.624972813284271,3.0,3.0,5.0,3.0,3.0,1.0,3.0,643.0,1.0,0.0,445.0,6.9930151229329605,1,5.0,1,4,7.1891677384203225,0,0,7.1891677384203225,0.0,0.0,2,0,3,1,3.0,6,6,1,3.0,1,57,2.0,2.0,440.0,3.0,3.0,2,0.0,4.9344739331306915,0,0,0,0,0.0,1,1,0,3,0,8,5.0,7.7886260656250315,2.0,138
41,5,5.0,115.0,16905,9.0,0.0,9.0,7.0,9.0,2.0,3.0,23,2,2,2.0,2,5,6,66,9,5.0,1,12,13,2,0.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,967.0,1.0,0.0,383.0,7.208600337960199,1,4.0,1,4,7.192182058713246,0,0,7.192182058713246,0.0,1.0,1,1,2,1,3.0,5,6,2,4.0,1,51,2.0,1.0,308.0,3.0,3.0,1,0.0,4.653960350157523,0,0,0,0,0.0,4,1,0,9,1,8,6.0,7.893198869544609,2.0,104
42,14,5.0,0.0,9180,9.0,0.0,7.0,7.0,9.0,5.0,3.0,20,2,2,2.0,6,5,7,90,33,5.0,1,6,6,2,0.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,747.0,2.0,93.0,0.0,6.734591659972948,1,4.0,1,4,6.785587645007929,0,0,6.785587645007929,1.0,0.0,1,0,2,1,4.0,5,6,0,0.0,1,75,2.0,2.0,504.0,3.0,4.0,2,5.484796933490655,0.0,0,0,0,0,0.0,2,1,0,3,1,8,6.0,7.45298232946546,2.0,240
43,5,5.0,0.0,9200,9.0,0.0,7.0,7.0,9.0,5.0,3.0,5,2,2,2.0,2,5,6,82,30,3.0,1,12,13,2,0.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,280.0,4.0,491.0,167.0,6.844815479208263,1,3.0,1,4,6.844815479208263,0,0,6.844815479208263,1.0,0.0,1,0,3,1,3.0,5,6,0,0.0,5,69,1.0,1.0,308.0,3.0,3.0,2,4.983606621708336,0.0,0,0,0,0,0.0,2,1,0,9,2,8,6.0,7.537430036586509,2.0,145
44,5,5.0,70.0,7945,9.0,0.0,9.0,7.0,9.0,2.0,3.0,12,2,2,2.0,2,5,6,66,9,5.0,1,3,14,2,0.0,3.0,3.0,5.0,3.0,3.0,1.0,5.0,179.0,4.0,506.0,465.0,7.048386408721883,1,5.0,1,0,7.048386408721883,0,0,7.048386408721883,1.0,0.0,1,0,3,1,3.0,6,6,0,0.0,1,51,2.0,1.0,300.0,3.0,3.0,2,0.0,0.0,0,0,0,0,0.0,4,1,0,7,0,8,6.0,7.741099090035366,2.0,0
45,0,5.0,61.0,7658,9.0,0.0,9.0,7.0,9.0,2.0,3.0,16,2,2,7.0,2,9,5,112,55,3.0,1,8,8,1,6.023447592961033,5.0,3.0,6.0,5.0,3.0,1.0,6.0,456.0,1.0,0.0,1296.0,7.469083884921234,1,5.0,1,4,7.469083884921234,0,0,7.469083884921234,1.0,0.0,2,0,2,1,5.0,6,6,1,4.0,1,97,2.0,2.0,576.0,3.0,3.0,2,5.2832037287379885,4.418840607796598,0,0,0,0,0.0,4,1,0,4,4,8,6.0,8.16194579946869,3.0,278
